gene_symbol,transcript_id,TPM
FOXD2,ENST00000334793,0.206336
TRABD2B,ENST00000606738,0
SLC5A9,ENST00000438567,0.840801
SPATA6,ENST00000371847,0
AGBL4,ENST00000371839,0.3333
BEND5,ENST00000371833,0
ELAVL4,ENST00000371824,0
DMRTA2,ENST00000404795,0
FAF1,ENST00000396153,0
CDKN2C,ENST00000371761,0
C1orf185,ENST00000371759,0
RNF11,ENST00000242719,0.733656
EPS15,ENST00000371733,0
OSBPL9,ENST00000428468,5.796621
NRD1,ENST00000352171,0
RAB3B,ENST00000371655,0.291514
TXNDC12,ENST00000371626,8.081786
KTI12,ENST00000371614,0
BTF3L4,ENST00000313334,0
CC2D1B,ENST00000284376,0
ORC1,ENST00000371568,0
PRPF38A,ENST00000257181,8.612032
ZCCHC11,ENST00000257177,0
GPX7,ENST00000361314,0
FAM159A,ENST00000517870,1.352951
COA7,ENST00000371538,1.221238
ZYG11B,ENST00000294353,0.115688
ZYG11A,ENST00000371528,0
ECHDC2,ENST00000371522,0
SCP2,ENST00000371514,1.564926
PODN,ENST00000312553,0
SLC1A7,ENST00000371494,0
CPT2,ENST00000371486,0
C1orf123,ENST00000294360,0
MAGOH,ENST00000371470,2.243837
LRP8,ENST00000306052,2.791422
DMRTB1,ENST00000371445,0
NDC1,ENST00000371429,0
YIPF1,ENST00000072644,0
DIO1,ENST00000361921,0
HSPB11,ENST00000194214,0
LRRC42,ENST00000371370,0
LDLRAD1,ENST00000371360,0
TMEM59,ENST00000234831,0.206069
TCEANC2,ENST00000234827,0.538256
MRPL37,ENST00000360840,0
ACOT11,ENST00000343744,0
FAM151A,ENST00000302250,17.989701
MROH7,ENST00000421030,0
TTC4,ENST00000371281,0
PARS2,ENST00000371279,0.866865
TTC22,ENST00000371276,0
DHCR24,ENST00000371269,0
TMEM61,ENST00000371268,0
PCSK9,ENST00000302118,0
USP24,ENST00000294383,1.125215
PPAP2B,ENST00000371250,7.851947
PRKAA2,ENST00000371244,0
C1orf168,ENST00000343433,0
C8A,ENST00000361249,0
C8B,ENST00000371237,0
DAB1,ENST00000371236,0
OMA1,ENST00000371226,0
TACSTD2,ENST00000371225,0
MYSM1,ENST00000472487,0
JUN,ENST00000371222,2.732439
FGGY,ENST00000303721,0
HOOK1,ENST00000371208,0.165682
CYP2J2,ENST00000371204,0
C1orf87,ENST00000371201,0
NFIA,ENST00000403491,0.31755
TM2D1,ENST00000606498,0
L1TD1,ENST00000498273,0
KANK4,ENST00000371153,0
USP1,ENST00000339950,0
ANGPTL3,ENST00000371129,0
ATG4C,ENST00000317868,0
FOXD3,ENST00000371116,0.39483
ALG6,ENST00000263440,7.618816
ITGB3BP,ENST00000271002,0
EFCAB7,ENST00000371088,0
PGM1,ENST00000371084,0.874753
ROR1,ENST00000371079,0
JAK1,ENST00000342505,0
AK4,ENST00000327299,0.692269
DNAJC6,ENST00000371069,0.95912
LEPR,ENST00000349533,0
LEPROT,ENST00000371065,0
PDE4B,ENST00000341517,0
SGIP1,ENST00000371037,2e-6
TCTEX1D1,ENST00000282670,0
WDR78,ENST00000371026,0
MIER1,ENST00000401041,0
SLC35D1,ENST00000235345,0.307282
IL23R,ENST00000347310,0
SERBP1,ENST00000361219,0
GADD45A,ENST00000370986,0
GNG12,ENST00000370982,1.321624
DIRAS3,ENST00000370981,0
WLS,ENST00000262348,0
RPE65,ENST00000262340,0
DEPDC1,ENST00000456315,0
LRRC40,ENST00000370952,2.112356
ANKRD13C,ENST00000370944,0
CTH,ENST00000370938,0
ZRANB2,ENST00000370920,0
NEGR1,ENST00000357731,3.102245
LRRIQ3,ENST00000354431,0
TNNI3K,ENST00000326637,0
LRRC53,ENST00000294635,4.55356
C1orf173,ENST00000326665,0
CRYZ,ENST00000340866,0
TYW3,ENST00000370867,0
ACADM,ENST00000370841,0
RABGGTB,ENST00000319942,0
MSH4,ENST00000263187,0
ASB17,ENST00000284142,1.098967
ST6GALNAC3,ENST00000328299,0.138643
ST6GALNAC5,ENST00000477717,0
PIGK,ENST00000370812,0
AK5,ENST00000354567,6.327311
ZZZ3,ENST00000370801,0
USP33,ENST00000370794,0
NEXN,ENST00000334785,0.8578
FUBP1,ENST00000370768,0
DNAJB4,ENST00000370763,0.389142
GIPC2,ENST00000370759,0
